title,year
The Return of the Soldier,1982
Safari 3000,1982
The Dark Crystal,1982
Evil Under the Sun,1982
The Missionary,1982
Annie,1982
Remembrance,1982
Gandhi,1982
Conan the Barbarian,1982
Victor Victoria,1982
The Best of Friends,1982
Lonely Hearts,1982
Shoot the Moon,1982
A Dangerous Summer,1982
Fanny och Alexander,1982
Friend or Foe,1982
The Man from Snowy River,1982
Pink Floyd: The Wall,1982
Out,1982
The Last Unicorn,1982
"Ladies and Gentlemen, the Fabulous Stains",1982
Jugando con la muerte,1982
Who Dares Wins,1982
The Draughtsman's Contract,1982
Otelo (Comando negro),1982
Rocky III,1982
Jekyll and Hyde... Together Again,1982
Penitentiary II,1982
Giro City,1982
Firefox,1982
Doll's Eye,1982
BrainWaves,1982
Warlords of the 21st Century,1982
The Right Stuff,1983
The Meaning of Life,1983
Merry Christmas Mr. Lawrence,1983
Balboa,1983
Local Hero,1983
Bush Christmas,1983
The Ploughman's Lunch,1983
Double Deal,1983
Never Say Never Again,1983
Sudden Impact,1983
To Be or Not to Be,1983
Marvin & Tige,1983
The Survivors,1983
Educating Rita,1983
Self Defense,1983
The Return of Captain Invincible,1983
Curse of the Pink Panther,1983
Gorky Park,1983
Smorgasbord,1983
Trading Places,1983
The Sting II,1983
Molly,1983
Fords on Water,1983
Going Down,1983
Ascendancy,1983
The Lonely Lady,1983
High Road to China,1983
Stangata napoletana,1983
The Wicked Lady,1983
Fanny Hill,1983
Krull,1983
Nate and Hayes,1983
Heat and Dust,1983
Superman III,1983
Midnite Spares,1983
Yentl,1983
The Outsiders,1983
Rumble Fish,1983
Eddie and the Cruisers,1983
Octopussy,1983
Bullshot,1983
Buddies,1983
A Flame to the Phoenix,1983
The Adventures of Bob & Doug McKenzie: Strange Brew,1983
Le cercle des passions,1983
Lovesick,1983
Privates on Parade,1983
Lone Wolf McQuade,1983
The Lords of Discipline,1983
The Dresser,1983
Something Wicked This Way Comes,1983
The Black Stallion Returns,1983
G,1983
Once Upon a Time in America,1984
Lassiter,1984
Detenute violente,1984
The Rosebud Beach Hotel,1984
My First Wife,1984
Oxford Blues,1984
Die unendliche Geschichte,1984
Tank,1984
Fear City,1984
Fast Talking,1984
Crackers,1984
Supergirl,1984
Kaze no tani no Naushika,1984
Pallet on the Floor,1984
The Young Visiters,1984
City Limits,1984
Bedroom Eyes,1984
Best Revenge,1984
The Soldier's Tale,1984
Amadeus,1984
Garbo Talks,1984
Flashpoint,1984
Teachers,1984
Meatballs Part II,1984
Where Is Parsifal?,1984
The Hit,1984
Protocol,1984
Give My Regards to Broad Street,1984
Dune,1984
Indiana Jones and the Temple of Doom,1984
Moord in extase,1984
No Small Affair,1984
Massive Retaliation,1984
Starship,1984
Utu,1984
The Bengal Lancers!,1984
Return to Waterloo,1984
The Ice Pirates,1984
Top Secret!,1984
The Muppets Take Manhattan,1984
The Cotton Club,1984
"Oh, God! You Devil",1984
Champions,1984
Electric Dreams,1984
The Razor's Edge,1984
A Passage to India,1984
Other Halves,1984
Melvin: Son of Alvin,1984
The Bounty,1984
The Chain,1984
Nemo,1984
Reflections,1984
The Killing Edge,1984
This Is Spinal Tap,1984
Sword of the Valiant: The Legend of Sir Gawain and the Green Knight,1984
Nineteen Eighty-Four,1984
Hai tan,1984
"Greystoke: The Legend of Tarzan, Lord of the Apes",1984
Body Double,1984
Thief of Hearts,1984
Perverse oltre le sbarre,1984
The Red Fury,1984
The Man with One Red Shoe,1985
Death Wish 3,1985
Il pentito,1985
The Falcon and the Snowman,1985
A Different Kind of Love,1985
Doin' Time,1985
Out of Africa,1985
Spies Like Us,1985
Mask,1985
Turtle Diary,1985
The Good Father,1985
Lamb,1985
Enemy Mine,1985
Claudia,1985
Follow That Bird,1985
Mad Max Beyond Thunderdome,1985
Insignificance,1985
Loose Connections,1985
Mr. Love,1985
The Innocent,1985
Young Sherlock Holmes,1985
American Drive-In,1985
Water,1985
Morons from Outer Space,1985
The Journey of Natty Gann,1985
Witness,1985
Code Name: Emerald,1985
Savage Dawn,1985
Brazil,1985
Legend,1985
Smooth Talk,1985
Dance with a Stranger,1985
A View to a Kill,1985
Burke & Wills,1985
Bootleg,1985
King David,1985
Restless Natives,1985
Revolution,1985
The Holcroft Covenant,1985
Red Sonja,1985
Dreamchild,1985
White Nights,1985
Warming Up,1985
Baby: Secret of the Lost Legend,1985
Out of the Darkness,1985
Flesh+Blood,1985
Zina,1985
Rustlers' Rhapsody,1985
Weird Science,1985
Santa Claus: The Movie,1985
Invitation to the Wedding,1985
Lei sa Gu Su,1985
Plenty,1985
Lust in the Dust,1985
Harem,1985
The Men's Club,1986
Caravaggio,1986
Sky Bandits,1986
Running Scared,1986
Mona Lisa,1986
Hollywood Zap,1986
Labyrinth,1986
Soul Man,1986
Car Trouble,1986
My Little Girl,1986
Highlander,1986
Blue Velvet,1986
Tai-Pan,1986
Stand by Me,1986
Max mon amour,1986
Jocks,1986
The Mosquito Coast,1986
Sid and Nancy,1986
The American Way,1986
Absolute Beginners,1986
Biggles,1986
The Transformers: The Movie,1986
Club Life,1986
Flight of the Navigator,1986
Zischke,1986
The Mission,1986
Hud,1986
Little Shop of Horrors,1986
Banter,1986
Hannah and Her Sisters,1986
Haunted Honeymoon,1986
Aliens,1986
Howard the Duck,1986
The Big Hurt,1986
The End of the World Man,1986
Zhong hua ying xiong,1986
Every Time We Say Goodbye,1986
Yue Yue,1986
Jenny Kissed Me,1986
Weekend Warriors,1986
Hollywood Vice Squad,1986
Crossroads,1986
Lady Jane,1986
Legal Eagles,1986
Half Moon Street,1986
Castaway,1986
Valhalla,1986
Firewalker,1986
Clockwise,1986
Defence of the Realm,1986
Whoops Apocalypse,1986
Last Resort,1986
The Whistle Blower,1986
Duet for One,1986
Allan Quatermain and the Lost City of Gold,1986
Oviri,1986
Comrades,1986
Short Circuit,1986
Peggy Sue Got Married,1986
Ground Zero,1987
Snow White,1987
The Second Victory,1987
Da xue sheng yi shi,1987
High Tide,1987
Wish You Were Here,1987
Mio min Mio,1987
Echoes of Paradise,1987
Little Dorrit,1987
Anna,1987
Hearts of Fire,1987
Cry Freedom,1987
Full Metal Jacket,1987
Playing Away,1987
The Sicilian,1987
Ping Pong,1987
Australian Dream,1987
Bachelor Girl,1987
The Edge of Power,1987
The Fourth Protocol,1987
Wall Street,1987
Suspect,1987
Bullseye,1987
Hotshot,1987
"Slate, Wyn & Me",1987
Harry and the Hendersons,1987
Empire of the Sun,1987
The Dead,1987
Bellman and True,1987
Three Kinds of Heat,1987
Valet Girls,1987
The Time Guardian,1987
The Princess Bride,1987
Hidden City,1987
Deadly Illusion,1987
Magic Sticks,1987
Spaceballs,1987
The Year My Voice Broke,1987
Murder Rap,1987
High Season,1987
Withnail & I,1987
Sleeping Beauty,1987
Rumpelstiltskin,1987
Rolling Vengeance,1987
Steele Justice,1987
The Living Daylights,1987
Prick Up Your Ears,1987
Nowhere to Hide,1987
Pelle erobreren,1987
Superman IV: The Quest for Peace,1987
Gardens of Stone,1987
Personal Services,1987
A Prayer for the Dying,1987
Heat and Sunlight,1987
P.K. and the Kid,1987
Those Dear Departed,1987
Number One with a Bullet,1987
Hope and Glory,1987
Eat the Rich,1987
Gentry,1987
Empire State,1987
The Girl,1987
Matewan,1987
The Garbage Pail Kids Movie,1987
Pinocchio and the Emperor of the Night,1987
The Emperor's New Clothes,1987
Love Potion,1987
Sweet Lies,1987
Going Bananas,1987
Surrender,1987
Manifesto,1988
Appointment with Death,1988
The Adventures of Baron Munchausen,1988
Crusoe,1988
Blanc de Chine,1988
Madame Sousatzka,1988
Der Passagier - Welcome to Germany,1988
A Fish Called Wanda,1988
Never Say Die,1988
The Navigator: A Medieval Odyssey,1988
School Daze,1988
Wu qiang qiang shou,1988
A Handful of Dust,1988
A Night in the Life of Jimmy Reardon,1988
Coming to America,1988
Tusks,1988
Lethal Woman,1988
Daddy's Boys,1988
Backstage,1988
Tucker: The Man and His Dream,1988
Drugi covek,1988
The Love Child,1988
Willow,1988
Alien from L.A.,1988
Hell Comes to Frogtown,1988
Olympus Force: The Key,1988
The Zero Option,1988
Salome's Last Dance,1988
Frantic,1988
Arthur 2: On the Rocks,1988
Beetlejuice,1988
I'm Gonna Git You Sucka,1988
Haunted Summer,1988
Evil Angels,1988
After School,1988
Who Framed Roger Rabbit,1988
Mauri,1988
Bird,1988
The Laser Man,1988
Buster,1988
Short Circuit 2,1988
A Summer Story,1988
Working Girl,1988
She's Having a Baby,1988
The First Kangaroos,1988
The Frog Prince,1988
Russicum - I giorni del diavolo,1988
Alien Nation,1988
La notte degli squali,1988
Young Guns,1988
Rikky and Pete,1988
Dirty Rotten Scoundrels,1988
The Good Mother,1988
Tommy Tricker and the Stamp Traveller,1988
The Dead Pool,1988
Dark Mission: Flowers of Evil,1988
Invasion Earth: The Aliens Are Here,1988
Satisfaction,1988
Honor Bound,1988
High Spirits,1988
Memories of Me,1988
Hawks,1988
Rented Lips,1988
Resurrected,1989
Escape from Safehaven,1989
The 'Burbs,1989
Tank Malling,1989
The Return of the Musketeers,1989
Walter & Carlo i Amerika,1989
Ghostbusters II,1989
Sea of Love,1989
Fat Man and Little Boy,1989
La chute des aigles,1989
Farewell to the King,1989
When Harry Met Sally...,1989
Batman,1989
The Tall Guy,1989
Rising Storm,1989
Candy Regentag,1989
How to Get Ahead in Advertising,1989
Gross Anatomy,1989
Field of Dreams,1989
The Rainbow,1989
Lords of the Deep,1989
"Manika, une vie plus tard",1989
Mack the Knife,1989
Forced March,1989
Indiana Jones and the Last Crusade,1989
Loverboy,1989
Venus Senki,1989
Best of the Best,1989
Doombeach,1989
She's Back,1989
Do the Right Thing,1989
Strapless,1989
Murder Story,1989
Dream a Little Dream,1989
Old Gringo,1989
Three Fugitives,1989
Midnight,1989
Diamond Skulls,1989
Slipstream,1989
Split,1989
Henry V,1989
Pissoir,1989
War Requiem,1989
Lean on Me,1989
A Dry White Season,1989
Next of Kin,1989
Heart of Dixie,1989
Hu guang,1989
Scandal,1989
L'avaro,1990
Strike It Rich,1990
Genuine Risk,1990
Paper Mask,1990
Una vita scellerata,1990
The Krays,1990
Total Recall,1990
Another 48 Hrs.,1990
Mountains of the Moon,1990
Neurotic Cabaret,1990
Mo' Better Blues,1990
Hidden Agenda,1990
The Bonfire of the Vanities,1990
Rocky V,1990
The Spirit of '76,1990
Club Fed,1990
My Blue Heaven,1990
A Kink in the Picasso,1990
Die Hard 2,1990
Awakenings,1990
Milou en mai,1990
Darkman,1990
The Big Man,1990
The Return of Superfly,1990
King of the Wind,1990
Almost an Angel,1990
The Last Island,1990
1871,1990
Memphis Belle,1990
The Russia House,1990
The Big Steal,1990
The Rainbow Thief,1990
The Hunt for Red October,1990
Secret Agent OO Soul,1990
Goodfellas,1990
King of New York,1990
Betsy's Wedding,1990
Camping,1990
Spaced Invaders,1990
Vital Signs,1990
Hollywood Hot Tubs 2: Educating Crystal,1990
Bullseye!,1990
A Shock to the System,1990
Presumed Innocent,1990
Wilt,1990
The Godfather: Part III,1990
Wendy Cracked a Walnut,1990
Hardware,1990
I Hired a Contract Killer,1990
Wild at Heart,1990
Hamlet,1990
The Fool,1990
The Shrimp on the Barbie,1990
Father,1990
The March,1990
Eminent Domain,1990
Sibling Rivalry,1990
Soapdish,1991
Company Business,1991
A Kiss Before Dying,1991
Bis ans Ende der Welt,1991
Uncaged,1991
The Commitments,1991
Under Suspicion,1991
Edge of Honor,1991
Zandalee,1991
Adventures in Dinosaur City,1991
Hear My Song,1991
Dead Again,1991
Il colore dei suoi occhi,1991
How's Business,1991
Beltenebros,1991
Flirting,1991
Holidays on the River Yarra,1991
Europa,1991
Return to the Blue Lagoon,1991
Switch,1991
Johnny Suede,1991
Sweet Talker,1991
Omohide poro poro,1991
Convicts,1991
Regarding Henry,1991
Oxen,1991
The Last Boy Scout,1991
Kabuto,1991
Hook,1991
Impromptu,1991
Born to Ride,1991
Let Him Have It,1991
The Object of Beauty,1991
Scorchers,1991
Point Break,1991
Rambling Rose,1991
Bill & Ted's Bogus Journey,1991
The Doors,1991
True Identity,1991
Prime Target,1991
Jumpin' at the Boneyard,1991
Jungle Fever,1991
Driving Me Crazy,1991
Robin Hood: Prince of Thieves,1991
Drop Dead Fred,1991
Guyver,1991
White Light,1991
Strictly Business,1991
Ernest Scared Stupid,1991
An American Tail: Fievel Goes West,1991
Fires Within,1991
King Ralph,1991
Delirious,1991
Kafka,1991
The Dark Backward,1991
The Pope Must Die,1991
Street Wars,1992
Ramayana: The Legend of Prince Rama,1992
Sneakers,1992
Giant Steps,1992
Cool World,1992
Batman Returns,1992
The Public Eye,1992
Miss Beatty's Children,1992
Mom and Dad Save the World,1992
Ruby Cairo,1992
Leap of Faith,1992
Husbands and Wives,1992
Blue Ice,1992
Freddie as F.R.O.7.,1992
Waterland,1992
Jackpot,1992
Back in the U.S.S.R.,1992
Center of the Web,1992
A River Runs Through It,1992
Inside Monkey Zetterland,1992
Malcolm X,1992
Chaplin,1992
The Muppet Christmas Carol,1992
Bad Lieutenant,1992
Year of the Comet,1992
Shining Through,1992
The Crying Game,1992
Turtle Beach,1992
City of Joy,1992
The Berlin Conspiracy,1992
Fathers & Sons,1992
Spies Inc.,1992
My Grandpa Is a Vampire,1992
Aladdin,1992
White Sands,1992
South Central,1992
Den goda viljan,1992
This Is My Life,1992
Patriot Games,1992
Wind,1992
Dotkniecie reki,1992
Carry on Columbus,1992
Juice,1992
As You Like It,1992
The Power of One,1992
Resistance,1992
Kurenai no buta,1992
Schindler's List,1993
Hammers Over the Anvil,1993
Amos & Andrew,1993
Midnight Witness,1993
Jurassic Park,1993
Little Buddha,1993
True Romance,1993
Loaded Weapon 1,1993
The Hour of the Pig,1993
Ethan Frome,1993
In the Name of the Father,1993
Menace II Society,1993
Gross Misconduct,1993
The Real McCoy,1993
The Remains of the Day,1993
Robin Hood: Men in Tights,1993
Fatal Instinct,1993
A Perfect World,1993
Snake Eyes,1993
A Far Off Place,1993
The Heartbreak Kid,1993
The Nostradamus Kid,1993
The Nightmare Before Christmas,1993
Sommersby,1993
Hercules Returns,1993
Piccolo grande amore,1993
Dreamrider,1993
The Secret Rapture,1993
The Sandlot,1993
Super Mario Bros.,1993
The Innocent,1993
Dong fang san xia,1993
The Cement Garden,1993
The Frontline,1993
Where the Rivers Flow North,1993
L.A. Goddess,1993
Excessive Force,1993
The Meteor Man,1993
Flynn,1993
Addams Family Values,1993
Swing Kids,1993
Street Knight,1993
Quick,1993
Extreme Justice,1993
Son of the Pink Panther,1993
For the Moment,1993
Zero Patience,1993
Genghis Cohn,1993
Naked in New York,1993
Splitting Heirs,1993
Undercover Blues,1993
Freaked,1993
Wayne's World 2,1993
The Thief and the Cobbler,1993
Frauds,1993
The Fugitive,1993
The Custodian,1993
The Trial,1993
Mrs. Doubtfire,1993
Much Ado About Nothing,1993
Time Runner,1993
U.F.O.,1993
Grief,1993
Batman: Mask of the Phantasm,1993
Golden Gate,1993
Felony,1994
Pulp Fiction,1994
The Crow,1994
Exile,1994
Police Academy: Mission to Moscow,1994
Time Is Money,1994
Bullet Down Under,1994
To Die For,1994
Talk,1994
Dead Funny,1994
Jimmy Hollywood,1994
Dead Beat,1994
The Cowboy Way,1994
A Feast at Midnight,1994
Hand Gun,1994
Getting Even with Dad,1994
The Lion King,1994
Naked Gun 33 1/3: The Final Insult,1994
Silk Degrees,1994
"That Eye, the Sky",1994
Fresh,1994
The High Crusade,1994
Chasing the Deer,1994
Dallas Doll,1994
Drop Squad,1994
Stanley's Dragon,1994
Gino,1994
Hail Caesar,1994
The Raffle,1994
Rapa Nui,1994
The Search for One-eye Jimmy,1994
The New Age,1994
La chance,1994
Don't Get Me Started,1994
The Sum of Us,1994
Shallow Grave,1994
Prince of Jutland,1994
The Shawshank Redemption,1994
Being Human,1994
Ebbtide,1994
A Man You Don't Meet Every Day,1994
Il silenzio dei prosciutti,1994
Die unendliche Geschichte III: Rettung aus Phantasien,1994
Blankman,1994
Widows' Peak,1994
Clear and Present Danger,1994
Heisei tanuki gassen ponpoko,1994
Four Weddings and a Funeral,1994
"The Adventures of Priscilla, Queen of the Desert",1994
Once Were Warriors,1994
Beverly Hills Cop III,1994
Nell,1994
Redheads,1994
White Angel,1994
Concealed Weapon,1994
Black Beauty,1994
Nobody's Fool,1994
Captives,1994
Staggered,1994
Clean Slate,1994
No Escape,1994
Money Train,1995
Cutthroat Island,1995
The Immortals,1995
Judge Dredd,1995
Voices,1995
Clockers,1995
Jefferson in Paris,1995
GoldenEye,1995
A Boy Called Hate,1995
The Wacky Adventures of Dr. Boris and Nurse Shirley,1995
Balto,1995
Clockwork Mice,1995
Delta of Venus,1995
Wild Bill,1995
In the Bleak Midwinter,1995
Toy Story,1995
Phoenix,1995
First Knight,1995
Tunnel Vision,1995
Innocent Lies,1995
Mortal Kombat,1995
"Cry, the Beloved Country",1995
30:e november,1995
Born to Be Wild,1995
Major Payne,1995
Sense and Sensibility,1995
Street Law,1995
Der Flug des Albatros,1995
Welcome to the Dollhouse,1995
Pictures of Baby Jane Doe,1995
Richard III,1995
Shu dan long wei,1995
Nixon,1995
Braveheart,1995
Sabrina,1995
Nothing Personal,1995
A Goofy Movie,1995
Friday,1995
Ace Ventura: When Nature Calls,1995
The Last Word,1995
Twelve Monkeys,1995
My Family,1995
What My Mother Told Me,1995
A Kid in King Arthur's Court,1995
Restoration,1995
Things to Do in Denver When You're Dead,1995
The Near Room,1995
Feast of July,1995
Funny Bones,1995
Blue Juice,1995
Rob Roy,1995
Screamers,1995
Under the Hula Moon,1995
Wish Me Luck,1995
Losing Isaiah,1995
The Fantasticks,1995
Die Hard with a Vengeance,1995
The Call Up,1995
Angel Baby,1995
Kiss of Death,1995
Gospa,1995
Heat,1995
French Kiss,1995
Fluke,1995
Savage Play,1995
Girl in the Cadillac,1995
Glory Daze,1995
Loch Ness,1996
Space Truckers,1996
Evita,1996
Snakes and Ladders,1996
Space Jam,1996
The Bruce,1996
The Secret Agent,1996
Idiot Box,1996
Some Mother's Son,1996
A Time to Kill,1996
True Blue,1996
The Elevator,1996
Bound,1996
All Dogs Go to Heaven 2,1996
Citizen Ruth,1996
Surviving Picasso,1996
Jie tou sha shou,1996
Mission: Impossible,1996
A Family Thing,1996
City Hall,1996
Hamlet,1996
Stella Does Tricks,1996
Bastard Out of Carolina,1996
Cheyenne,1996
Muppet Treasure Island,1996
Race the Sun,1996
Emma,1996
The Pallbearer,1996
Saint-Ex,1996
The Trigger Effect,1996
Jerusalem,1996
Galgameth,1996
The English Patient,1996
Good Luck,1996
The Wind in the Willows,1996
Broken English,1996
Brassed Off,1996
Chicken,1996
The Pillow Book,1996
101 Dalmatians,1996
Trainspotting,1996
A Midsummer Night's Dream,1996
The Last of the High Kings,1996
Barb Wire,1996
Jack Brown Genius,1996
Little White Lies,1996
Jude,1996
Broken Arrow,1996
Jingle All the Way,1996
Girl 6,1996
Michael Collins,1996
The Leading Man,1996
Everyone Says I Love You,1996
Before and After,1996
The Great White Hype,1996
The Stupids,1996
The Long Kiss Goodnight,1996
Dating the Enemy,1996
Last Dance,1996
Lust and Revenge,1996
Beautiful Girls,1996
Moving Target,1996
Mars Attacks!,1996
Hard Men,1996
Lilian's Story,1996
Mulholland Falls,1996
Acri,1996
E=mc2,1996
Illtown,1996
Hak hap,1996
Sydney,1996
The Phantom,1996
The Hunchback of Notre Dame,1996
Hamsun,1996
Unhook the Stars,1996
Whipping Boy,1996
Mr. Reliable,1996
Trees Lounge,1996
Mask of Death,1996
Eat Your Heart Out,1997
The Devil's Own,1997
House of America,1997
"This World, Then the Fireworks",1997
Murder in Mind,1997
Sparkle and Charm,1997
Clancy's Kitchen,1997
Obsession,1997
Fever Pitch,1997
Titanic,1997
Conceiving Ada,1997
Epsilon,1997
Dinner and Driving,1997
Hercules,1997
Fierce Creatures,1997
Lesser Prophets,1997
Spice World,1997
Midnight in the Garden of Good and Evil,1997
Red Corner,1997
Mrs Brown,1997
Amy (II),1997
Air Force One,1997
The Lost World: Jurassic Park,1997
Men in Black,1997
The Wings of the Dove,1997
The Saint,1997
Amistad,1997
Wilde,1997
The Man Who Knew Too Little,1997
The Jackal,1997
Love Walked In,1997
Cannes Man,1997
Incognito,1997
FairyTale: A True Story,1997
Excess Baggage,1997
Macbeth,1997
Steel Sharks,1997
The Boxer,1997
Mrs Dalloway,1997
Paradise Road,1997
Diana & Me,1997
Kull the Conqueror,1997
The Gambler,1997
Bliss,1997
Welcome to Woop Woop,1997
Die furchtlosen Vier,1997
Mononoke-hime,1997
Bad Day on the Block,1997
That Darn Cat,1997
Laserhawk,1997
Mousehunt,1997
Heaven's Burning,1997
Prince Valiant,1997
Doing Time for Patsy Cline,1997
Eve's Bayou,1997
Alien X Factor,1997
Preaching to the Perverted,1997
Yapian zhanzheng,1997
One Night Stand,1997
The Serpent's Kiss,1997
Speed 2: Cruise Control,1997
Gang Related,1997
The Borrowers,1997
Farmer & Chase,1997
Keep the Aspidistra Flying,1997
Tomorrow Never Dies,1997
Twin Town,1997
Brittle Glory,1997
The First to Go,1997
Austin Powers: International Man of Mystery,1997
A Life Less Ordinary,1997
Mojo,1997
Picture Perfect,1997
Loop,1997
Xiao Qian,1997
Mortal Kombat: Annihilation,1997
Cats Don't Dance,1997
Saaz,1997
Career Girls,1997
Blackrock,1997
Die Story von Monty Spinnerratz,1997
One Eight Seven,1997
Jackie Brown,1997
Sliding Doors,1998
Dangerous Beauty,1998
Sour Grapes,1998
Divorcing Jack,1998
Painted Angels,1998
Inquietude,1998
Bedrooms and Hallways,1998
Sweet Jane,1998
Stiff Upper Lips,1998
A Very Unlucky Leprechaun,1998
Monk Dawson,1998
When Love Comes,1998
Possums,1998
What Rats Won't Do,1998
Titanic Town,1998
Sibirskiy tsiryulnik,1998
The Governess,1998
Le violon rouge,1998
Mulan,1998
Hamilton,1998
Blues Brothers 2000,1998
Somewhere in the City,1998
Lost in Space,1998
Prem Aggan,1998
Girls' Night,1998
Out of Sight,1998
What Dreams May Come,1998
La leggenda del pianista sull'oceano,1998
Up 'n' Under,1998
Six Days Seven Nights,1998
Saving Private Ryan,1998
The Big Night Out,1998
L.A. Without a Map,1998
Jinnah,1998
Babe: Pig in the City,1998
Mob Queen,1998
Rush Hour,1998
The Thin Red Line,1998
A Bug's Life,1998
Still Crazy,1998
The Negotiator,1998
Erasable You,1998
Strike!,1998
Woo,1998
No Code of Conduct,1998
Shadow Run,1998
Love Is the Devil: Study for a Portrait of Francis Bacon,1998
With Friends Like These...,1998
Welcome to Hollywood,1998
BASEketball,1998
Velvet Goldmine,1998
Hurrah,1998
The Adventures of Ragtime,1998
Praise,1998
Croupier,1998
At Sachem Farm,1998
Among Giants,1998
Theeviravaathi: The Terrorist,1998
Primary Colors,1998
Pariah,1998
Mighty Joe Young,1998
Jane Austen's Mafia!,1998
Dead Letter Office,1998
Dark City,1998
Dance Me to My Song,1998
Sista kontraktet,1998
"Martha - Meet Frank, Daniel and Laurence",1998
"Lock, Stock and Two Smoking Barrels",1998
Little Voice,1998
Stargames,1998
Elizabeth,1998
The Tale of Sweety Barrett,1998
Kiss the Sky,1998
Lithivm,1998
Free Enterprise,1998
Louis & Frank,1998
Something to Believe In,1998
The First 9 1/2 Weeks,1998
Middleton's Changeling,1998
Senseless,1998
Parting Shots,1998
RPM,1998
Resurrection Man,1998
The X Files,1998
Hilary and Jackie,1998
I Want You,1998
Tube Tales,1999
Virtual Sexuality,1999
Man of the Century,1999
Free Fall,1999
The Matrix,1999
The Limey,1999
Random Hearts,1999
The Mummy,1999
Dogwatch,1999
The Cat in the Hat: The Ride,1999
The Missing,1999
Toy Story 2,1999
Notting Hill,1999
Erskineville Kings,1999
Mauvaise passe,1999
Elephant Juice,1999
Change of Heart,1999
The Trench,1999
Muppets from Space,1999
Guest House Paradiso,1999
Eye of the Beholder,1999
Love & Rage,1999
G:MT Greenwich Mean Time,1999
The Adventures of Elmo in Grouchland,1999
The Omega Code,1999
Galaxy Quest,1999
Play It to the Bone,1999
Operation Delta Force 4: Deep Fault,1999
Angela's Ashes,1999
Double Carpet,1999
An Ideal Husband,1999
Making Ends Meet,1999
Mansfield Park,1999
Foolish,1999
Life Among the Cannibals,1999
The End of the Affair,1999
The New Adventures of Pinocchio,1999
The White Pony,1999
Wing Commander,1999
Entrapment,1999
The Dream Catcher,1999
Onegin,1999
Walking Across Egypt,1999
To Walk with Lions,1999
Wild Wild West,1999
Feeling Sexy,1999
A Fare to Remember,1999
Rogue Trader,1999
The Virgin Suicides,1999
Mad Cows,1999
Matters of Consequence,1999
Captain Jack,1999
Gunfighter,1999
Julie and the Cadillacs,1999
Hold Back the Night,1999
What Becomes of the Broken Hearted?,1999
Bowfinger,1999
All the Way,1999
Don't Go Breaking My Heart,1999
Row Your Boat,1999
A Midsummer Night's Dream,1999
I'll Make You Happy,1999
Joan of Arc,1999
Anywhere But Here,1999
Two Hands,1999
Passion,1999
October Sky,1999
This Year's Love,1999
On the Q.T.,1999
Paperback Hero,1999
Holy Smoke,1999
The Deep End of the Ocean,1999
The Muse,1999
Undercover Angel,1999
Tarzan,1999
Eyes Wide Shut,1999
Inspector Gadget,1999
Man on the Moon,1999
Deep Blue Sea,1999
The Annihilation of Fish,1999
The Contract,1999
The World Is Not Enough,1999
The King and I,1999
Topsy-Turvy,1999
Anna and the King,1999
Dudley Do-Right,1999
She's All That,1999
My Brother the Pig,1999
The Corruptor,1999
Strange Planet,1999
Snow Falling on Cedars,1999
The Debt Collector,1999
King Lear,1999
Split Wide Open,1999
Unbreakable,2000
The Independent,2000
Rhythm & Blues,2000
Sample People,2000
Ivansxtc,2000
I Dreamed of Africa,2000
Wild About Harry,2000
Bootmen,2000
Gladiator,2000
Risk,2000
My Mother Frank,2000
The Girls' Room,2000
Price of Glory,2000
Looking for Alibrandi,2000
Dr. T & the Women,2000
Shaft,2000
Kevin & Perry Go Large,2000
Rancid Aluminium,2000
Lisa Picard Is Famous,2000
Secret Society,2000
Intrepid,2000
The Visit,2000
Saving Grace,2000
Married 2 Malcolm,2000
The Most Fertile Man in Ireland,2000
Sabotage!,2000
Hotel Splendide,2000
It Was an Accident,2000
Sensitive New Age Killer,2000
Red Planet,2000
Better Than Sex,2000
Some Voices,2000
Il cielo cade,2000
Beautiful Creatures,2000
Vatel,2000
The Million Dollar Hotel,2000
Muggers,2000
Shiner,2000
The Miracle Maker,2000
Rugrats in Paris: The Movie - Rugrats II,2000
Whispers: An Elephant's Tale,2000
28 Days,2000
Savage Honeymoon,2000
The Legend of Bagger Vance,2000
Nora,2000
Mr. Accident,2000
Gun Shy,2000
Gossip (II),2000
How the Grinch Stole Christmas,2000
Tick Tock,2000
U-571,2000
Rat uzivo,2000
Sorted,2000
The Goddess of 1967,2000
Daybreak (II),2000
One of the Hollywood Ten,2000
The Monkey's Mask,2000
Meet the Parents,2000
Charlie's Angels,2000
Enemies Closer,2000
Mission: Impossible II,2000
Titan A.E.,2000
Sinbad: Beyond the Veil of Mists,2000
Chocolat,2000
The Jolly Boys' Last Stand,2000
The Ladies Man,2000
New Year's Day,2000
Vertical Limit,2000
The Family Man,2000
Pandaemonium,2000
The Mumbo Jumbo,2000
Maze,2000
X-Men,2000
Keeping the Faith,2000
Honest,2000
Proof of Life,2000
Five Seconds to Spare,2000
Rules of Engagement,2000
"6,000 Miles from Hollywood",2000
Gangster No. 1,2000
"Me, Myself & Irene",2000
The Magic Pudding,2000
Where the Heart Is,2000
Anna,2000
Late Night Shopping,2001
Lucky Break,2001
Town & Country,2001
The Musketeer,2001
Intacto,2001
The Last Minute,2001
The Fourth Angel,2001
The Lord of the Rings: The Fellowship of the Ring,2001
Redemption Road,2001
Jimmy Neutron: Boy Genius,2001
Rain (III),2001
